0.734324 (0.006632) with: {'batch_size': 64, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.687417 (0.027741) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.712334 (0.033342) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.681823 (0.032012) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.657284 (0.114223) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.682378 (0.037994) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.664885 (0.019537) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.691787 (0.037668) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.679340 (0.019469) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.684652 (0.014498) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.686011 (0.006761) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.683095 (0.025124) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.678133 (0.007839) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.684133 (0.022628) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.673015 (0.016635) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.691508 (0.007922) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.687906 (0.018031) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.771375 (0.028118) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.777147 (0.055242) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.779351 (0.017337) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.768365 (0.031736) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.800013 (0.018898) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.791106 (0.024751) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.768398 (0.030932) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.771508 (0.051099) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.758956 (0.050884) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.753164 (0.066219) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.773735 (0.031547) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.792862 (0.037167) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.766374 (0.031061) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.764909 (0.023516) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.777932 (0.022200) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.772185 (0.043073) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.763897 (0.023957) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.784271 (0.007583) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.754618 (0.032237) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.773293 (0.038574) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.734488 (0.013013) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.743510 (0.011390) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.747275 (0.027082) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.769325 (0.021384) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.759538 (0.034160) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.742515 (0.041871) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.755816 (0.030831) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.786034 (0.010428) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.734775 (0.026216) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.768767 (0.013034) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.772368 (0.020630) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.778615 (0.031159) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.711365 (0.053981) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.695424 (0.057656) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.760025 (0.031005) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.707694 (0.043563) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.676179 (0.108583) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.740794 (0.030575) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.743299 (0.032694) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.665022 (0.113745) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.725381 (0.040696) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.772003 (0.045429) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.743644 (0.014390) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.739659 (0.046509) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.733236 (0.043966) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.750258 (0.018120) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.744287 (0.008303) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.745399 (0.009278) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.711988 (0.027176) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.715484 (0.037855) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.723775 (0.027786) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.729338 (0.017700) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.703170 (0.025706) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.729330 (0.027267) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.715591 (0.018685) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.712946 (0.034802) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.701788 (0.025317) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.709217 (0.028398) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.706233 (0.031463) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.715912 (0.038948) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.740475 (0.025256) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.733332 (0.020532) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.729423 (0.038246) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.708043 (0.027545) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
