0.935458 (0.016495) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.941974 (0.010265) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.943526 (0.009058) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.941660 (0.011207) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.943508 (0.009499) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.940448 (0.006977) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.943960 (0.007618) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.941659 (0.004213) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.941220 (0.006952) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.941314 (0.004797) with: {'batch_size': 32, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.942098 (0.013444) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.948647 (0.009431) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.951944 (0.008579) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.943650 (0.019266) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.942442 (0.016957) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.943833 (0.004108) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.940057 (0.019522) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.946454 (0.016644) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.929821 (0.017682) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.930262 (0.018468) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.953390 (0.007895) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.952440 (0.007381) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.950189 (0.002730) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.937647 (0.014737) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.952231 (0.006061) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.942375 (0.024893) with: {'batch_size': 64, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.935421 (0.017072) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.933137 (0.013832) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.953903 (0.012414) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.947490 (0.008911) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.935905 (0.017507) with: {'batch_size': 64, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
